lon,lat,voterType,COLOR,id
-89.8204687597,43.9665817459,DEM,#0571b0,1265
-89.8204639086,44.023851586,REP,#ca0020,10671
-89.8204636887,43.9629129876,NOVOTE,#9999999,1420
-89.8204540523,43.9736618388,DEM,#0571b0,6045
-89.8204382395,43.9560455018,NOVOTE,#9999999,245
-89.8204356928,44.0184563058,NOVOTE,#9999999,10829
-89.8204268367,43.9562497978,NOVOTE,#9999999,242
-89.8204166799,44.0176166268,REP,#ca0020,10808
-89.8204031363,43.9734244446,NOVOTE,#9999999,6050
-89.8203966721,43.9611188289,NOVOTE,#9999999,1438
-89.8203928968,44.115831889,REP,#ca0020,2642
-89.8203781299,43.9572003482,DEM,#0571b0,228
-89.8203752303,44.209238367,REP,#ca0020,14420
-89.8203334124,43.9716196752,NOVOTE,#9999999,6131
-89.8203282988,43.9674128002,NOVOTE,#9999999,6354
-89.8203280492,43.9576543353,NOVOTE,#9999999,241
-89.8203106418,43.7927960728,REP,#ca0020,15792
-89.8203027814,43.711976273,DEM,#0571b0,4147
-89.8202977251,44.2015861319,DEM,#0571b0,14707
-89.820296153,43.9573059943,DEM,#0571b0,232
-89.8202868369,43.9559635456,DEM,#0571b0,229
-89.8202827257,43.9769487099,DEM,#0571b0,5786
-89.8202820029,43.9583035215,REP,#ca0020,164
-89.8202777825,43.9630757963,DEM,#0571b0,1417
-89.8202744717,43.9721650422,DEM,#0571b0,6127
-89.8202610377,43.9714122443,REP,#ca0020,6128
-89.8202594359,43.9587469495,NOVOTE,#9999999,173
-89.8202579097,43.9852474106,REP,#ca0020,11351
-89.82025482,43.9723263354,DEM,#0571b0,6118
-89.8202528684,43.7550730815,NOVOTE,#9999999,16235
-89.8202520401,44.185666937,REP,#ca0020,13732
-89.8202520074,43.7153141666,NOVOTE,#9999999,4176
-89.8202516902,43.9728694696,REP,#ca0020,6120
-89.8202461021,43.9204575546,NOVOTE,#9999999,1987
-89.820232611,43.9607716828,NOVOTE,#9999999,1432
-89.8202210775,43.957570838,DEM,#0571b0,233
-89.8202194367,43.7810404483,NOVOTE,#9999999,15920
